Model,Fault,Severity,RMSE(A),MAE(A),R2
CNN,voltage_noise,0.05,80.07717225042977,64.29405212402344,-0.007200419902801514
Physics CNN,voltage_noise,0.05,7055.10340108492,5175.2109375,-7679.03515625
LSTM,voltage_noise,0.05,7861.265546971429,5879.26416015625,-9578.4931640625
Physics LSTM,voltage_noise,0.05,7224.326681428519,5388.97314453125,-8039.1591796875
Transformer,voltage_noise,0.05,7156.551683597346,4378.55712890625,-7950.87109375
Physics Transformer,voltage_noise,0.05,7296.53369758545,5204.369140625,-8190.8818359375
CNN-ViT,voltage_noise,0.05,8011.016414912655,5701.22802734375,-9869.46484375
Physics CNN-ViT,voltage_noise,0.05,7130.822673436775,5116.896484375,-7851.982421875
CNN,voltage_noise,0.1,80.07867835174666,64.2939682006836,-0.007228463888168335
Physics CNN,voltage_noise,0.1,7239.530924030921,5553.03515625,-8124.9970703125
LSTM,voltage_noise,0.1,8245.89012781519,6324.5302734375,-10449.484375
Physics LSTM,voltage_noise,0.1,7515.953166432053,5739.185546875,-8660.580078125
Transformer,voltage_noise,0.1,6944.944924187665,4226.734375,-7559.88232421875
Physics Transformer,voltage_noise,0.1,7642.037162955961,5565.2529296875,-8897.7373046875
CNN-ViT,voltage_noise,0.1,8359.260254352654,6079.806640625,-10637.130859375
Physics CNN-ViT,voltage_noise,0.1,7377.375142962434,5435.974609375,-8343.8046875
CNN,voltage_noise,0.2,80.0869522573746,64.29210662841797,-0.007380425930023193
Physics CNN,voltage_noise,0.2,8363.064988387929,6869.3515625,-10929.6953125
LSTM,voltage_noise,0.2,8915.744724923432,6964.82470703125,-12083.345703125
Physics LSTM,voltage_noise,0.2,8091.626288948347,6293.1318359375,-9960.58984375
Transformer,voltage_noise,0.2,6758.174901554413,4093.88232421875,-7231.3173828125
Physics Transformer,voltage_noise,0.2,8274.024897231093,6191.419921875,-10312.6552734375
CNN-ViT,voltage_noise,0.2,8938.673279631603,6656.6611328125,-12070.353515625
Physics CNN-ViT,voltage_noise,0.2,7786.581534922754,5888.8125,-9226.345703125
CNN,speed_drift,0.05,80.0552116608438,64.2789535522461,-0.006391644477844238
Physics CNN,speed_drift,0.05,7476.1626520562,5595.7294921875,-8477.8037109375
LSTM,speed_drift,0.05,8194.40931367234,5769.8583984375,-10296.8154296875
Physics LSTM,speed_drift,0.05,7463.532675616822,5264.44091796875,-8525.9619140625
Transformer,speed_drift,0.05,7386.820425595846,4524.1162109375,-8398.38671875
Physics Transformer,speed_drift,0.05,7745.981667935963,5444.7919921875,-9113.6787109375
CNN-ViT,speed_drift,0.05,8306.551149544557,5841.1884765625,-10555.13671875
Physics CNN-ViT,speed_drift,0.05,7558.9475457896915,5337.7421875,-8712.4228515625
CNN,speed_drift,0.1,80.03291559180511,64.25924682617188,-0.005594402551651001
Physics CNN,speed_drift,0.1,8268.22786333323,6352.5048828125,-10138.603515625
LSTM,speed_drift,0.1,8841.322073083866,6358.31689453125,-11795.181640625
Physics LSTM,speed_drift,0.1,7853.8948299553895,5546.24169921875,-9351.888671875
Transformer,speed_drift,0.1,7463.734186049232,4575.568359375,-8553.0859375
Physics Transformer,speed_drift,0.1,8061.044597321119,5672.4013671875,-9787.078125
CNN-ViT,speed_drift,0.1,8824.824077566645,6217.7607421875,-11782.23046875
Physics CNN-ViT,speed_drift,0.1,8273.452967171566,5923.38232421875,-10247.48828125
CNN,speed_drift,0.2,79.99580067103523,64.2338638305664,-0.0041058361530303955
Physics CNN,speed_drift,0.2,10952.463832398626,8387.91796875,-17046.244140625
LSTM,speed_drift,0.2,10892.009181046442,8351.6279296875,-17188.6171875
Physics LSTM,speed_drift,0.2,8725.84070448229,6340.4814453125,-11338.9267578125
Transformer,speed_drift,0.2,7679.162714775615,4779.38916015625,-8990.6171875
Physics Transformer,speed_drift,0.2,7255.211919716749,5195.3291015625,-8208.193359375
CNN-ViT,speed_drift,0.2,9536.739065319969,7005.3974609375,-13618.8056640625
Physics CNN-ViT,speed_drift,0.2,9707.4272595781,7434.83740234375,-13645.796875
CNN,ambient_failure,0.0,80.18628823129613,64.27769470214844,-0.006668269634246826
Physics CNN,ambient_failure,0.0,6964.624325834094,4990.4873046875,-7487.7294921875
LSTM,ambient_failure,0.0,7719.989637298744,5467.8662109375,-9266.6015625
Physics LSTM,ambient_failure,0.0,7107.970737137288,5036.18017578125,-7811.5419921875
Transformer,ambient_failure,0.0,6208.584057577057,3699.80810546875,-6288.3876953125
Physics Transformer,ambient_failure,0.0,7213.720260725391,5085.814453125,-8032.98046875
CNN-ViT,ambient_failure,0.0,7959.914572405913,5584.4951171875,-9769.4384765625
Physics CNN-ViT,ambient_failure,0.0,7091.008390913101,5004.02001953125,-7779.064453125
