,stator_winding,stator_tooth,stator_yoke,pm,coolant,ambient,dTw,dTt_y,dTt_pm,dTy_c,dTy_a,P_copper,P_remaining
stator_winding,1.0,0.9701347167288136,0.86026835618166,0.7958925135202548,0.5048351870246218,0.3332083141064774,0.7547443514659781,0.7043545872454924,0.5611271980789463,0.5555498476436804,0.8686355519999286,0.5749883178865968,-0.3898488977578098
stator_tooth,0.9701347167288136,1.0,0.9531145343543228,0.8320839020866956,0.674973590678292,0.4434697066138527,0.5730752899516501,0.5416980947367499,0.5609531601765333,0.3897086253902656,0.9548624813731553,0.4126879283499818,-0.2533215949734805
stator_yoke,0.86026835618166,0.9531145343543228,1.0,0.7566842767934367,0.8607502848016446,0.5203815932379023,0.32869710372463845,0.2619346721014396,0.5889623318630874,0.11099591979989759,0.9962557530777828,0.2329872409638659,-0.13386992553421012
pm,0.7958925135202548,0.8320839020866956,0.7566842767934367,1.0,0.46711731923323396,0.5137278560161428,0.43853168983028235,0.5518120628963875,0.007594636530484498,0.44361720629556567,0.7417055901601903,0.23814189840893285,-0.0678092655271795
coolant,0.5048351870246218,0.674973590678292,0.8607502848016446,0.46711731923323396,1.0,0.5259632835754455,-0.1198915653316205,-0.23831435774112444,0.5197012782353904,-0.4103423318758277,0.8496259256947054,-0.08296834486837466,0.08056331818647453
ambient,0.3332083141064774,0.4434697066138527,0.5203815932379023,0.5137278560161428,0.5259632835754455,1.0,-0.07362692726568316,-0.031170670381902688,0.03275684056362317,-0.09461353288937599,0.444606269494357,-0.07986188788487197,0.13612302134692247
dTw,0.7547443514659781,0.5730752899516501,0.32869710372463845,0.43853168983028235,-0.1198915653316205,-0.07362692726568316,1.0,0.9146193312958649,0.37865584447429207,0.8229418660320587,0.35223805933571894,0.8264667485199515,-0.6319845675666178
dTt_y,0.7043545872454924,0.5416980947367499,0.2619346721014396,0.5518120628963875,-0.23831435774112444,-0.031170670381902688,0.9146193312958649,1.0,0.1530086471266443,0.9345434563530585,0.2779098057905643,0.6689683357513252,-0.4360386496721414
dTt_pm,0.5611271980789463,0.5609531601765333,0.5889623318630874,0.007594636530484498,0.5197012782353904,0.03275684056362317,0.37865584447429207,0.1530086471266443,1.0,0.04047594256587124,0.614470257749125,0.38858906772046775,-0.3555010064922343
dTy_c,0.5555498476436804,0.3897086253902656,0.11099591979989759,0.44361720629556567,-0.4103423318758277,-0.09461353288937599,0.8229418660320587,0.9345434563530585,0.04047594256587124,1.0,0.12600714008758163,0.5793873962127427,-0.3971214430110806
dTy_a,0.8686355519999286,0.9548624813731553,0.9962557530777828,0.7417055901601903,0.8496259256947054,0.444606269494357,0.35223805933571894,0.2779098057905643,0.614470257749125,0.12600714008758163,1.0,0.25247531933756767,-0.1542031756167552
P_copper,0.5749883178865968,0.4126879283499818,0.2329872409638659,0.23814189840893285,-0.08296834486837466,-0.07986188788487197,0.8264667485199515,0.6689683357513252,0.38858906772046775,0.5793873962127427,0.25247531933756767,1.0,-0.8318695248002512
P_remaining,-0.3898488977578098,-0.2533215949734805,-0.13386992553421012,-0.0678092655271795,0.08056331818647453,0.13612302134692247,-0.6319845675666178,-0.4360386496721414,-0.3555010064922343,-0.3971214430110806,-0.1542031756167552,-0.8318695248002512,1.0
